Gene	WC1_INPUT	WC1_IP	WC2_INPUT	WC2_IP	WC3_INPUT	WC3_IP
Mrps9	18.406	12.825	20.538	20.264	16.473	18.456
Mrrf	13.276	9.413	14.216	11.612	10.604	12.904
Mrs2	8.502	9.926	9.727	9.134	13.843	6.423
Mrto4	32.91	28.093	41.331	46.07	23.299	50.924
Ms4a6c	2.501	1.257	1.266	1.396	1.979	1.421
Msc	0.347	0.139	0.361	0.437	0.349	0.389
Msh2	15.054	11.443	15.592	11.973	14.941	8.663
Msh3	3.822	4.551	5.821	2.911	9.111	3.694
Msh6	6.578	14.54	6.501	8.251	6.237	3.458
Msi1	8.292	5.16	7.999	4.89	6.19	4.954
Msi2	56.276	47.421	65.236	46.943	86.083	53.977
Msl1	77.85	45.058	79.537	52.29	104.742	62.661
Msl2	12.244	14.299	11.012	21.89	17.115	23.518
Msl2	15.448	17.217	14.881	23.502	18.084	38.96
Msl3	7.743	5.257	6.579	6.467	6.294	8.636
Msl3l2	8.673	11.398	9.384	7.712	8.784	6.799
Msn	3.504	2.444	2.323	1.845	3.647	3.217
Msra	11.618	4.073	13.643	10.844	9.111	10.951
Msrb2	15.653	4.644	15.552	12.467	9.524	15.633
Msto1	9.477	7.577	12.803	13.087	9.549	7.492
Mt1	300.137	64.255	233.737	182.844	104.451	206.387
Mt2	165.247	36.245	136.316	91.444	70.265	100.209
Mt3	9.488	6.464	7.447	7.901	5.165	5.143
Mta1	19.397	17.529	16.243	12.255	16.709	13.855
Mta2	5.991	9.414	5.593	6.831	5.136	15.808
Mta3	38.954	32.938	34.628	25.066	30.244	24.686
Mtap	7.982	6.686	9.752	6.843	10.054	10.107
Mtap1a	61.046	231.191	65.075	104.526	112.479	151.315
Mtap1b	259.168	492.062	240.433	283.12	306.351	298.815
Mtap1s	12.655	15.745	11.509	11.736	11.034	9.121
